NomenclatureCode,Nomenclature,ProductGroup,ProductGroupDescription,ProductCode,ProductDescription
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,91,Clocks and watches and parts thereof.
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,92,Musical instruments; parts and access of  such
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,93,Arms and ammunition; parts and  accessories the
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,94,"Furniture; bedding, mattress, matt  support, cu"
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,95,"Toys, games & sports requisites; parts &  acces"
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,96,Miscellaneous manufactured articles.
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,97,"Works of art, collectors' pieces and  antiques."
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,98,  UN Special Code
H0,HS 1988/92,90-99_Miscellan,Miscellaneous,99,  UN Special Code
H0,HS 1988/92,Total,  All Products, Total,Total Trade
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10119,"Live horses, other than for pure-bred breeding"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10120,Live asses mules and hinnies
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10290,"Live bovine animals, other than pure-bred breed"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10391,Live swine weighing <50kg (excl. pure-bred bree
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10392,Live swine weighing >=50kg (excl. pure-bred bre
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,0103AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10410,Live sheep
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10420,Live goats
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,0104AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10511,"Live fowls of species Gallus domesticus, weighi"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10519,"Live ducks, geese, turkeys and guinea fowls, we"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10591,Live fowls of species Gallus domesticus (chicke
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10599,"Live ducks, geese, turkeys and guinea fowls, we"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,10600,"Other live animals, nes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20110,Fresh or chilled bovine carcasses and half carc
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20120,Fresh or chilled unboned bovine meat (excl. car
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20130,Fresh or chilled boneless bovine meat
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,0201AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20210,Frozen bovine carcasses and half carcasses
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20220,Frozen unboned bovine meat (excl. carcasses)
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20230,Frozen boneless bovine meat
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20311,Fresh or chilled swine carcasses and half carca
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20312,"Fresh or chilled unboned hams, shoulders and cu"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20319,"Fresh or chilled swine meat, nes (unboned)"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20321,Frozen swine carcasses and half carcasses
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20322,"Frozen unboned hams, shoulders and cuts thereof"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20329,"Frozen swine meat, nes"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20410,Fresh or chilled lamb carcasses and half carcas
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20421,Fresh or chilled sheep carcasses and half carca
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20422,Fresh or chilled unboned meat of sheep
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20423,Fresh or chilled boneless meat of sheep
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20430,Frozen lamb carcasses and half carcasses
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20441,Frozen sheep carcasses and half carcasses (excl
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20442,Frozen unboned meat of sheep
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20443,Frozen boned meat of sheep
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20450,"Fresh, chilled or frozen goat meat"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,0204AA,  UN Special Code
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20500,"Meat of horses, asses, mules or hinnies, fresh,"
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20610,Fresh or chilled edible bovine offal
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20621,Frozen bovine tongues
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20622,Frozen bovine livers
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20629,Frozen edible bovine offal (excl. tongues and l
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20630,Fresh or chilled edible swine offal
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20641,Frozen swine livers
H0,HS 1988/92,UNCTAD-SoP1, Raw materials,20649,Frozen edible swine offal (excl. livers)
